treatment,Z-3-Hexenal,E-2-hexenal,Z-3-Hexenol,Heptanal,beta-Myrcene,Octanal,Z-3-Hexenyl acetate,D-Limonene,Linalool ,Nonanal,DMNT,Phenylmethyl acetate,Decanal,Indole ,Methyl anthranilate,Cyclosativene,Ylangene,Geranyl acetate,beta-Caryophyllene,beta-Bergamotene ,beta-Farnesene,beta-Bisabolene,delta-Cadinene,Nerolidol
Control,0,0,0,0,0,0,0,0,72.28980037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,233.1854643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,86.76302816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,67.92016842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,293.466034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,141.2315544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,591.9631249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,0,0,0,0,0,0,0,0,101.7580187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,385.4478831,0,0,0,25.3161656,0,171.384692,0,815.8842548,0,253.7461629,37.20470438,0,861.4306733,24.4491489,0,0,120.9737799,77.93483112,559.5051107,1175.779112,13.0300185,0,0
SF,912.2579201,0,0,0,53.31099091,0,497.3652741,0,2302.134368,0,778.0231605,64.16071177,0,2577.511752,28.36921046,0,0,248.8468819,218.2780258,1936.825017,4116.617312,63.93406515,0,22.93939554
SF,344.0879385,0,0,0,53.53181052,0,117.2692327,0,1144.429757,0,210.8653632,15.84905671,0,738.512454,25.02133602,0,0,107.6536558,30.93113372,305.1879862,587.6504539,12.71791227,0,0
SF,784.4777822,0,0,0,77.78009113,0,439.6115463,0,2215.442016,0,466.7461977,57.38044699,0,2246.136556,49.51728682,0,0,260.8345804,91.16651223,1581.884541,3419.049278,50.22251877,0,34.10327869
SF,671.2758388,0,0,0,57.58626201,0,185.0229194,0,1628.132769,0,613.5028191,37.89287655,0,860.6012172,35.06477737,0,0,255.8109719,56.08851383,500.2807826,1003.461339,12.42306609,0,0
SF,420.1510522,0,0,0,74.27084215,0,172.534126,0,1264.515345,0,263.7019031,29.24653225,0,728.1172739,0,0,0,101.6265586,161.8233445,576.7962159,1248.085719,23.26521716,0,0
SF,307.7055437,0,0,0,43.26631186,0,68.60526801,0,899.9826159,0,192.5855685,14.35258859,0,424.6633167,0,0,0,62.92727133,67.65859567,257.3489315,498.0373358,0,0,0
SE,688.4537473,0,0,0,40.52468119,0,127.2811067,0,1748.339126,0,700.488428,101.9408202,0,3212.883515,59.33719276,0,0,263.470883,309.476088,1576.35187,3448.414727,64.00648374,0,24.31088231
SE,545.430766,0,0,0,52.20257769,0,300.9502186,0,1722.339957,0,537.1419753,100.5707851,0,2025.88817,31.61643773,0,0,270.2829651,326.1460961,1314.03853,2995.185584,63.5098499,0,24.74718509
SE,0,0,0,0,54.18780571,0,457.124835,0,1832.200345,0,466.6098959,59.58045523,0,2022.867325,39.09506684,0,0,258.008844,433.9254035,1336.354631,2896.730158,54.33740885,0,31.54202659
SE,0,0,0,0,27.62998724,0,132.5063015,0,637.2047941,0,384.9765612,70.21351098,0,1715.653385,23.89164836,0,0,90.98773048,183.4827465,539.6379276,1421.927325,36.65048389,0,18.51499174
SE,492.0605052,0,0,0,48.22448365,0,221.105422,0,1476.101652,0,377.541188,29.00487012,0,2150.879191,28.52093765,0,0,242.810056,341.1920174,953.3671847,2308.953806,51.50654427,0,23.48012206
SE,0,0,0,0,69.585249,0,261.9942335,0,1546.843543,0,589.9689917,62.09090265,0,2354.36831,28.56734414,0,0,232.6036588,337.5100982,911.9656933,2154.836304,55.40083941,0,36.97461236
SE,0,0,0,0,116.703378,0,229.5193613,0,2730.626703,0,1941.242105,184.1047518,0,2314.924316,43.30557908,0,0,572.7427516,670.2439703,2198.656894,5132.197156,146.9860658,0,95.02556223
CG,0,0,91.12513997,45.10282315,24.21948706,1506.294462,163.3432388,362.575636,260.5321136,283.6932943,48.67731668,0,154.473975,10.27518307,0,7.773311281,0,0,4.182646977,0,14.49925648,0,0,0
CG,0,21.4950558,39.37096011,87.14906789,26.57754542,2576.004024,179.3131319,419.421945,300.2180543,489.6065217,54.42635268,0,230.3995604,23.04067403,0,15.97680286,6.83020503,0,10.33678706,0,18.42026801,0,0,0
CG,0,0,72.55482519,34.49968532,17.93319475,1544.94444,151.6897727,94.30012355,41.21338477,256.7836111,48.33100141,0,166.8176102,11.60261324,0,49.03930606,28.21687287,0,9.982575029,0,14.29080998,0,5.521729179,0
CG,0,59.28152296,20.80752892,96.77003068,38.36451146,0,174.2716312,121.8628028,54.61683231,312.8608785,570.5797977,0,188.4787174,15.52615197,0,0,12.6216223,0,0,0,22.11599057,0,0,0
CG,0,79.92878817,54.54190755,57.52544122,24.10401828,68.25822544,110.5574042,51.5597758,39.43149326,185.4574824,352.2165619,0,124.2021332,13.94128558,0,0,7.532452266,0,0,0,13.42637826,0,0,0
CG,0,105.72307,63.18979521,59.74643708,34.31209854,45.94362457,129.3987211,59.86886954,24.71684574,158.4331393,446.0038948,0,122.1716079,9.825914564,0,0,9.776724839,0,5.859463113,0,15.45408288,0,0,0
CG,0,67.12128123,41.14486547,80.5545804,30.96021995,110.5026115,192.2337669,143.395965,57.34470764,273.9663517,639.749004,0,174.3777496,15.36561053,0,14.10754457,27.51301003,0,0,0,21.43469962,0,6.149270143,0
CG,0,218.8688284,83.52752489,102.5307818,85.00921643,42.86619364,90.74516787,80.16023533,53.36657979,196.2032481,445.6977169,0,98.81411985,19.05147603,0,0,41.4123989,0,0,0,15.2431014,0,0,0
