treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
SE,-31.5936,-31.5884,-31.5858,-31.5852,-31.5846,-31.5852,-31.5835,-31.5834,43.5099,43.5457,43.5685,43.5869,43.5998,43.6116,43.619,43.6273,43.6344,41.4567,41.5685,41.6376,41.6844,41.7195,41.744,41.7639,41.7792,41.7935,23.7255,23.7287,23.7322,23.7339,23.7339,23.732,23.7318,23.7317,23.7312,19.7348,19.7541,19.7707,19.7829,19.7872,19.7906,19.796,19.7928,19.7956,30.7052,30.7185,30.7218,30.7284,30.7295,30.7313,30.7303,30.7304,30.7285,-31.9583,-31.7606,-31.639,-31.5428,-31.4773,-31.4229,-31.3792,-31.3385,-31.3029,-7.8665,-6.0475,-5.1319,-4.5881,-4.2508,-4.0331,-3.8884,-3.7879,-3.715,30.0537,30.2742,30.39,30.4641,30.513,30.546,30.5707,30.5881,30.6042,30.9086,31.4663,31.8032,32.0202,32.1596,32.2513,32.3121,32.3543,32.3846
SE,-31.8863,-31.8823,-31.8803,-31.8787,-31.877,-31.8768,-31.8771,-31.8763,43.6713,43.7152,43.743,43.7643,43.7793,43.7923,43.8057,43.8173,43.8278,41.8584,41.9946,42.0756,42.1314,42.1732,42.2043,42.2296,42.251,42.2687,23.3766,23.3824,23.3828,23.3836,23.3843,23.3851,23.3846,23.3854,23.3867,19.3072,19.3346,19.351,19.3609,19.3722,19.3769,19.38,19.3839,19.3872,30.6615,30.6795,30.6882,30.6869,30.6944,30.6949,30.6942,30.693,30.6971,-31.6434,-31.4009,-31.2506,-31.1389,-31.049,-30.9699,-30.9114,-30.8608,-30.8149,-2.4656,0.0908,1.3593,2.1247,2.5979,2.9078,3.1235,3.2816,3.4001,30.3414,30.6171,30.7594,30.8484,30.9098,30.9543,30.9889,31.0158,31.0378,32.3115,33.057,33.5063,33.7931,33.9802,34.1037,34.1882,34.2488,34.2952
SE,-32.6657,-32.6573,-32.6527,-32.6485,-32.6492,-32.6488,-32.6457,-32.6438,43.9122,43.962,43.9944,44.0262,44.0468,44.0623,44.0787,44.0953,44.1058,42.5905,42.7459,42.8432,42.9176,42.97,43.007,43.036,43.0618,43.0835,22.4145,22.4237,22.4262,22.4304,22.4326,22.4308,22.4321,22.4326,22.4349,18.2032,18.242,18.268,18.2834,18.2963,18.3049,18.3095,18.3145,18.3227,30.4711,30.4909,30.503,30.5115,30.5139,30.5153,30.5143,30.517,30.5196,-30.755,-30.4417,-30.2321,-30.0707,-29.941,-29.8439,-29.7649,-29.6941,-29.6267,9.8754,13.8874,15.9448,17.2271,18.0186,18.5098,18.8579,19.1017,19.2536,30.7844,31.1195,31.3064,31.4339,31.5188,31.5737,31.6171,31.6517,31.679,35.8219,36.826,37.4651,37.8963,38.1873,38.3853,38.525,38.6287,38.7025
SE,-32.0497,-32.0432,-32.0409,-32.0386,-32.0375,-32.0368,-32.037,-32.0367,43.7517,43.7943,43.82,43.8425,43.8582,43.8721,43.8863,43.8939,43.9019,42.0373,42.1701,42.249,42.3077,42.3497,42.38,42.4037,42.4241,42.4387,23.1853,23.1922,23.1926,23.1954,23.1974,23.1979,23.1996,23.2001,23.1989,19.0948,19.1202,19.139,19.1587,19.1664,19.1739,19.1786,19.1759,19.1821,30.6324,30.6507,30.6587,30.6617,30.6646,30.6667,30.669,30.6695,30.6686,-31.4712,-31.2231,-31.0686,-30.9546,-30.8639,-30.7857,-30.7355,-30.6792,-30.6334,0.0378,2.7326,4.0708,4.901,5.3915,5.695,5.893,6.0352,6.1389,30.4449,30.7207,30.8653,30.959,31.0234,31.0665,31.0971,31.1207,31.1377,33.0522,33.8023,34.2583,34.5593,34.7521,34.8776,34.9626,35.0219,35.0658
SE,-32.1405,-32.1344,-32.133,-32.1321,-32.1296,-32.1283,-32.127,-32.1278,43.7636,43.801,43.8247,43.8418,43.8581,43.8687,43.8814,43.8901,43.8982,42.0542,42.1704,42.2416,42.293,42.3298,42.3592,42.381,42.3987,42.414,23.0793,23.0849,23.0856,23.0863,23.0868,23.0884,23.0883,23.0884,23.089,18.9636,18.994,19.0052,19.0226,19.0274,19.0306,19.0348,19.0367,19.0386,30.6104,30.6254,30.6302,30.6364,30.6375,30.6346,30.6391,30.6402,30.6401,-31.5205,-31.3102,-31.1643,-31.0623,-30.983,-30.9127,-30.8606,-30.8148,-30.7665,0.2773,2.6852,3.893,4.6698,5.1444,5.4438,5.6456,5.7909,5.9013,30.3639,30.6092,30.7357,30.8221,30.8804,30.9231,30.9532,30.9767,30.996,33.2702,33.934,34.3412,34.6174,34.7978,34.9184,34.9994,35.0578,35.1026
SE,-32.6276,-32.6252,-32.6252,-32.6226,-32.6215,-32.6221,-32.6184,-32.6199,44.1437,44.1452,44.1522,44.1539,44.1579,44.1595,44.1583,44.1634,44.1612,43.1005,43.1116,43.1262,43.1346,43.1455,43.1507,43.1533,43.1612,43.1602,22.4353,22.4333,22.4372,22.4366,22.4393,22.4402,22.4396,22.4425,22.4417,18.2428,18.2398,18.2499,18.2495,18.2519,18.2555,18.256,18.2612,18.2583,30.4682,30.4697,30.473,30.4704,30.4731,30.4761,30.4725,30.4768,30.4741,-29.4289,-29.3913,-29.3701,-29.3464,-29.3237,-29.3144,-29.3081,-29.2911,-29.2853,13.8945,14.3592,14.6246,14.902,15.0371,15.1632,15.191,15.2555,15.2777,31.7212,31.7565,31.7825,31.8041,31.8194,31.833,31.8347,31.8459,31.8454,38.993,39.0904,39.1579,39.2227,39.2697,39.3025,39.3215,39.3403,39.3511
SE,-31.938,-31.9311,-31.929,-31.9281,-31.928,-31.9274,-31.9275,-31.9257,43.6903,43.7291,43.7554,43.7782,43.7957,43.8086,43.8185,43.8288,43.8394,41.887,42.0155,42.0944,42.1532,42.1929,42.2235,42.2465,42.2663,42.2848,23.3197,23.3245,23.3259,23.3287,23.3306,23.3302,23.3284,23.3297,23.3307,19.2465,19.2715,19.2894,19.3038,19.315,19.32,19.3176,19.3252,19.3283,30.655,30.6715,30.6816,30.6864,30.6876,30.6883,30.6862,30.687,30.6873,-31.6549,-31.4249,-31.2704,-31.1549,-31.0649,-30.9971,-30.9388,-30.8894,-30.8429,-2.1362,0.3632,1.6226,2.3925,2.8498,3.1408,3.3508,3.5104,3.6247,30.3247,30.5915,30.7311,30.8233,30.885,30.9247,30.9542,30.9819,31.0039,32.4603,33.1787,33.6137,33.8988,34.083,34.2022,34.2861,34.348,34.3935
SE,-31.5643,-31.5611,-31.5587,-31.5579,-31.5569,-31.5582,-31.5574,-31.556,43.5143,43.5496,43.5716,43.59,43.6025,43.6141,43.6247,43.634,43.6418,41.463,41.5803,41.6514,41.7001,41.7353,41.7618,41.7824,41.8001,41.815,23.757,23.76,23.7608,23.7626,23.7627,23.7628,23.7628,23.7637,23.7642,19.77,19.7909,19.8047,19.8148,19.8228,19.8248,19.8286,19.8279,19.8336,30.7094,30.7247,30.7318,30.733,30.7355,30.733,30.7335,30.7326,30.7355,-31.8923,-31.6826,-31.5588,-31.4665,-31.3947,-31.3325,-31.2869,-31.2418,-31.2055,-7.4152,-5.466,-4.4907,-3.9237,-3.5885,-3.375,-3.2305,-3.1273,-3.0533,30.1139,30.3477,30.4698,30.5434,30.5911,30.6253,30.6517,30.6714,30.6878,30.9546,31.5522,31.9127,32.14,32.2824,32.3735,32.4363,32.4805,32.512
SE,-33.6807,-33.6712,-33.6649,-33.6627,-33.6577,-33.6558,-33.6551,-33.6524,44.1991,44.2465,44.2802,44.3038,44.323,44.3369,44.3546,44.3673,44.3776,43.0567,43.1976,43.2874,43.3513,43.3992,43.4368,43.4699,43.4957,43.5135,21.0632,21.0768,21.0824,21.0835,21.0861,21.0874,21.0923,21.0935,21.0942,16.731,16.7708,16.7977,16.8161,16.8302,16.844,16.8541,16.8649,16.8665,30.1601,30.1829,30.1972,30.2069,30.2097,30.2127,30.2161,30.2162,30.2177,-29.6669,-29.3626,-29.1543,-28.9854,-28.8498,-28.7493,-28.6533,-28.5759,-28.5113,24.0229,28.6439,31.0658,32.5863,33.5553,34.1924,34.6535,35.0093,35.2692,30.6499,30.9809,31.1763,31.31,31.4012,31.4689,31.5252,31.5683,31.6002,40.5061,41.4555,42.147,42.6518,43.0237,43.3016,43.5155,43.6827,43.8133
SE,-32.5495,-32.5411,-32.5362,-32.5336,-32.5342,-32.5308,-32.5308,-32.5301,43.9053,43.9582,43.9945,44.0203,44.04,44.0565,44.0728,44.0877,44.1021,42.5203,42.6819,42.7814,42.8516,42.9007,42.9393,42.9711,42.9974,43.0184,22.5601,22.5695,22.5743,22.5773,22.5765,22.5769,22.5773,22.5786,22.5817,18.3697,18.4071,18.4289,18.4488,18.458,18.4653,18.4758,18.4775,18.4868,30.503,30.5254,30.5382,30.544,30.5456,30.5503,30.5495,30.5501,30.5519,-30.8494,-30.5423,-30.3293,-30.1724,-30.049,-29.9471,-29.8684,-29.799,-29.7304,9.0264,12.9842,14.969,16.1569,16.9126,17.4039,17.7368,17.9754,18.1391,30.7768,31.1209,31.307,31.4261,31.5057,31.5636,31.6086,31.6447,31.6714,35.3867,36.3915,37.0239,37.4374,37.7171,37.9064,38.0388,38.1377,38.2108
SF,-34.9699,-34.9512,-34.9395,-34.9339,-34.9273,-34.9224,-34.9184,-34.915,45.4397,45.518,45.5693,45.6127,45.6442,45.6706,45.699,45.7214,45.7416,44.4824,44.7001,44.8374,44.9418,45.0167,45.0795,45.1356,45.1803,45.2177,19.0844,19.1021,19.1064,19.1151,19.1172,19.1204,19.1265,19.1302,19.1326,14.9038,14.9797,15.0348,15.0822,15.1156,15.1423,15.1727,15.1924,15.2136,29.6454,29.6841,29.7076,29.7284,29.7389,29.745,29.7567,29.7623,29.7669,-22.8867,-22.2898,-21.8492,-21.5002,-21.2132,-20.9629,-20.7466,-20.5537,-20.3829,41.7153,40.3846,40.0874,40.0265,40.0071,40.0004,40.0028,40.0001,39.9981,32.427,32.9169,33.2286,33.4604,33.6309,33.7703,33.891,33.989,34.069,60.7391,62.0324,63.1445,64.1211,64.9828,65.7674,66.483,67.1398,67.7454
SF,-33.4893,-33.4919,-33.491,-33.4906,-33.4898,-33.4884,-33.4878,-33.4867,44.2407,44.2239,44.2127,44.2039,44.199,44.1965,44.1927,44.1888,44.1847,43.3057,43.2533,43.2201,43.2028,43.193,43.1874,43.1813,43.1748,43.1683,21.3063,21.3054,21.3037,21.3039,21.3044,21.309,21.3098,21.31,21.3114,16.995,16.9833,16.9737,16.9686,16.9655,16.9696,16.9712,16.969,16.9683,30.1675,30.1605,30.157,30.1552,30.1537,30.1549,30.1571,30.1602,30.1579,-28.9672,-29.0877,-29.1704,-29.2137,-29.2435,-29.2722,-29.2859,-29.304,-29.3204,24.1161,22.4014,21.5979,21.3549,21.2507,21.1963,21.1746,21.1527,21.1103,31.4428,31.3222,31.2532,31.2238,31.2086,31.2023,31.1964,31.1895,31.1825,43.2876,42.8775,42.5996,42.443,42.3547,42.2991,42.2604,42.2296,42.2004
SF,-33.5473,-33.5497,-33.5459,-33.5462,-33.5447,-33.5418,-33.5404,-33.5399,44.3349,44.3193,44.3131,44.3105,44.3051,44.3056,44.307,44.3071,44.3048,44.1202,44.0753,44.0521,44.0466,44.0413,44.0406,44.0445,44.0457,44.0443,21.1494,21.145,21.1472,21.1512,21.1508,21.1519,21.1553,21.1569,21.1558,16.8706,16.8553,16.851,16.8557,16.8525,16.8517,16.8546,16.8537,16.8567,30.0486,30.0385,30.0376,30.0396,30.0389,30.0383,30.0404,30.0425,30.043,-28.0906,-28.189,-28.2477,-28.275,-28.2874,-28.2946,-28.2991,-28.2953,-28.2941,33.8486,32.5187,31.9174,31.8283,31.9012,32.0462,32.1721,32.2549,32.3627,31.9543,31.8566,31.8079,31.7943,31.7879,31.7908,31.7988,31.8034,31.8068,47.606,47.2826,47.0578,46.9387,46.8819,46.8615,46.8556,46.8517,46.8541
SF,-33.9465,-33.9437,-33.942,-33.9395,-33.9377,-33.9367,-33.9352,-33.9337,44.771,44.7741,44.7795,44.7815,44.7885,44.79,44.792,44.7966,44.7964,44.7413,44.7541,44.7655,44.7755,44.7877,44.7968,44.8044,44.811,44.8149,20.5215,20.5246,20.5256,20.5278,20.5288,20.5323,20.5316,20.5348,20.5335,16.2764,16.2847,16.2904,16.2917,16.2912,16.298,16.303,16.3033,16.308,29.8461,29.8459,29.8495,29.8504,29.8515,29.8519,29.8542,29.8577,29.856,-25.6241,-25.5962,-25.5729,-25.5447,-25.5103,-25.4806,-25.4638,-25.4405,-25.4286,39.6009,39.8063,39.9214,40.0199,40.1685,40.1395,40.1817,40.098,40.0965,32.7631,32.7901,32.8142,32.834,32.8626,32.8813,32.8995,32.9113,32.9201,54.2108,54.2902,54.3571,54.4265,54.5113,54.5836,54.6513,54.7033,54.751
SF,-34.3949,-34.393,-34.3913,-34.3893,-34.3875,-34.3857,-34.3838,-34.383,45.2878,45.2891,45.2939,45.2962,45.2968,45.2976,45.3001,45.3043,45.307,45.0699,45.0787,45.089,45.0982,45.1056,45.1127,45.1209,45.1296,45.1353,19.8207,19.8212,19.8246,19.8285,19.828,19.8283,19.8293,19.8322,19.835,15.5971,15.6016,15.6054,15.6084,15.6104,15.6145,15.6216,15.6233,15.6283,29.5496,29.5532,29.556,29.5569,29.5587,29.5599,29.5626,29.5656,29.5663,-23.5505,-23.5296,-23.5198,-23.49,-23.4673,-23.442,-23.4166,-23.3909,-23.3741,39.6221,39.6372,39.6422,39.6441,39.6374,39.6423,39.6475,39.6513,39.6451,32.9638,32.9861,33.0039,33.0235,33.0414,33.0611,33.0811,33.0998,33.1121,64.1417,64.1769,64.2099,64.2565,64.3136,64.3811,64.4493,64.5117,64.5694
SF,-34.269,-34.2676,-34.2645,-34.2633,-34.2626,-34.2609,-34.259,-34.2579,45.1214,45.1276,45.1273,45.1342,45.1381,45.14,45.1439,45.1478,45.1483,45.0182,45.0345,45.0446,45.0597,45.0702,45.0779,45.086,45.0963,45.1001,20.0094,20.0115,20.0134,20.0181,20.0177,20.0184,20.0192,20.0224,20.0219,15.7827,15.7907,15.7942,15.8044,15.81,15.8078,15.8148,15.8196,15.8196,29.6447,29.6495,29.6477,29.6536,29.6549,29.6569,29.6583,29.6626,29.6616,-24.0021,-23.961,-23.9359,-23.9013,-23.8736,-23.8457,-23.8217,-23.796,-23.7763,39.6798,39.6911,39.6737,39.6842,39.6981,39.6821,39.6673,39.6741,39.6782,33.0249,33.0637,33.0868,33.1174,33.1443,33.1632,33.1776,33.1988,33.2105,61.1286,61.2137,61.2886,61.3723,61.4608,61.5415,61.6171,61.6884,61.7506
SF,-34.3824,-34.3667,-34.3542,-34.3472,-34.3425,-34.3396,-34.334,-34.332,44.9866,45.0697,45.124,45.1683,45.2007,45.2325,45.2562,45.2812,45.2997,44.1841,44.4188,44.5646,44.6757,44.755,44.8241,44.8733,44.9223,44.9585,19.9745,19.9955,20.0007,20.0086,20.0096,20.0162,20.0173,20.022,20.0221,15.6986,15.785,15.8311,15.8759,15.9079,15.9322,15.951,15.9769,15.9927,29.8885,29.9305,29.9528,29.9757,29.9855,29.9963,30.0021,30.0069,30.0068,-25.102,-24.4866,-24.0471,-23.6986,-23.423,-23.1831,-22.9828,-22.7994,-22.6347,45.3947,47.1079,44.4361,42.0487,40.8214,40.2724,40.0469,39.9617,39.9174,32.2491,32.7989,33.1419,33.3836,33.5591,33.6968,33.8018,33.8943,33.9666,51.0905,52.8153,54.2115,55.3281,56.218,56.9595,57.5854,58.0086,58.4428
SF,-33.2923,-33.292,-33.2909,-33.289,-33.288,-33.2899,-33.2872,-33.2879,44.2264,44.2138,44.2086,44.2039,44.2003,44.1993,44.194,44.1929,44.191,43.2654,43.2291,43.2135,43.2035,43.1964,43.194,43.1869,43.1862,43.183,21.5717,21.5686,21.5715,21.5713,21.5733,21.5756,21.5738,21.5779,21.5784,17.2785,17.2701,17.2702,17.2675,17.2651,17.2697,17.2641,17.267,17.2674,30.2432,30.237,30.2358,30.2337,30.2322,30.2347,30.2309,30.2333,30.2356,-29.0713,-29.1481,-29.1936,-29.2173,-29.2403,-29.2519,-29.2695,-29.2808,-29.2907,22.1666,21.2092,20.7463,20.6996,20.6152,20.5995,20.5384,20.4912,20.486,31.5018,31.4249,31.3881,31.377,31.3652,31.3651,31.3541,31.353,31.351,42.1903,41.9377,41.7742,41.694,41.6438,41.6176,41.5861,41.5672,41.5529
SF,-33.3883,-33.3878,-33.384,-33.3842,-33.3819,-33.3805,-33.3792,-33.3801,44.3863,44.3893,44.3937,44.3983,44.4022,44.4074,44.4104,44.4119,44.4132,44.2061,44.2195,44.232,44.2436,44.2553,44.2645,44.2703,44.2743,44.2769,21.3514,21.3524,21.3525,21.3545,21.3569,21.3593,21.3612,21.3608,21.3621,17.0901,17.0959,17.0946,17.1006,17.1046,17.1082,17.114,17.1121,17.1164,30.1192,30.1177,30.1218,30.1212,30.1253,30.1268,30.1292,30.1271,30.1287,-27.7448,-27.7078,-27.6893,-27.6516,-27.6242,-27.6117,-27.5934,-27.5788,-27.5657,34.9558,35.4772,35.7666,36.0966,36.3364,36.491,36.5916,36.6573,36.7118,32.2421,32.2758,32.2993,32.3258,32.3469,32.3646,32.376,32.3852,32.3894,47.0061,47.108,47.1809,47.2552,47.3238,47.3763,47.4172,47.4481,47.4732
SF,-35.5378,-35.5376,-35.5371,-35.5356,-35.5355,-35.535,-35.5321,-35.5312,45.5243,45.5173,45.5144,45.5118,45.5089,45.5059,45.5062,45.507,45.5055,44.3467,44.3324,44.3262,44.3236,44.3183,44.3163,44.3172,44.3188,44.3196,18.2047,18.2041,18.2064,18.2089,18.2109,18.2102,18.2109,18.2156,18.2194,14.0698,14.0668,14.066,14.0643,14.066,14.0666,14.0674,14.0691,14.0703,29.2356,29.2324,29.2334,29.2337,29.2315,29.2337,29.2339,29.2365,29.2368,-22.1948,-22.2289,-22.2564,-22.2758,-22.295,-22.3043,-22.3137,-22.3156,-22.3199,40.0303,40.0265,40.0314,40.0303,40.0293,40.0274,40.0301,40.0338,40.0326,32.239,32.215,32.2038,32.1929,32.1838,32.1781,32.1794,32.1833,32.1832,72.8684,72.7939,72.7179,72.6385,72.5668,72.5031,72.4484,72.3984,72.3492
SF,-33.7436,-33.7415,-33.7372,-33.7365,-33.7334,-33.7332,-33.731,-33.7311,44.6462,44.6565,44.6613,44.6681,44.6726,44.6799,44.6802,44.6865,44.6865,44.6168,44.6467,44.6636,44.6852,44.6987,44.713,44.7192,44.7314,44.7329,20.8245,20.8282,20.8283,20.8335,20.8319,20.8365,20.8344,20.8388,20.8371,16.5687,16.5763,16.5793,16.5915,16.5935,16.5991,16.603,16.6067,16.6092,29.9558,29.959,29.9574,29.962,29.9629,29.9684,29.9663,29.9705,29.9681,-26.2196,-26.1489,-26.099,-26.0373,-25.9971,-25.9595,-25.9297,-25.8971,-25.8789,39.0254,39.8898,40.3207,40.6178,40.8648,40.9417,40.9833,40.977,40.9233,32.6939,32.7628,32.806,32.8474,32.8799,32.9083,32.9223,32.9443,32.9491,51.6902,51.8942,52.057,52.2043,52.3358,52.4448,52.5305,52.6076,52.6643
SF,-34.689,-34.6699,-34.6593,-34.6532,-34.6463,-34.642,-34.6376,-34.6344,45.2374,45.3175,45.3698,45.4115,45.4471,45.4784,45.5024,45.5257,45.5477,44.3881,44.6118,44.7526,44.8591,44.9421,45.0086,45.06,45.1068,45.1479,19.512,19.5279,19.5335,19.5387,19.5434,19.5489,19.552,19.5536,19.5586,15.2812,15.3595,15.4143,15.455,15.4899,15.5231,15.5451,15.5671,15.5869,29.7698,29.8102,29.8343,29.852,29.8638,29.8751,29.8784,29.8839,29.8886,-23.8588,-23.2479,-22.7999,-22.4412,-22.1517,-21.8982,-21.6812,-21.4909,-21.3168,45.7297,42.3309,40.6149,40.1184,39.9947,39.967,39.9525,39.9492,39.9485,32.4283,32.9488,33.2788,33.5179,33.6966,33.8397,33.9487,34.0432,34.1275,55.8187,57.3625,58.6188,59.6633,60.5567,61.3451,62.0399,62.6728,63.2503
