,treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
DC01,Control,-32.0414,-32.0387,-32.0369,-32.0353,-32.0338,-32.0326,-32.0311,-32.0302,43.1256,43.1315,43.136,43.1413,43.146,43.1517,43.1565,43.1585,43.1606,42.8025,42.8202,42.8329,42.8485,42.8656,42.8779,42.8878,42.8946,42.901,23.1498,23.1531,23.153,23.154,23.1557,23.1571,23.1588,23.1602,23.1617,19.1247,19.1316,19.1308,19.1358,19.1401,19.1424,19.1546,19.1514,19.1524,30.6545,30.6572,30.6608,30.6623,30.666,30.6648,30.6673,30.6695,30.6687,-28.4964,-28.4636,-28.4311,-28.3948,-28.3637,-28.3332,-28.3058,-28.2891,-28.2707,11.1372,11.6032,11.8961,12.3234,12.6979,12.9206,13.0572,13.1459,13.2125,32.1636,32.202,32.2252,32.2593,32.2931,32.3144,32.3314,32.3416,32.35,21.4776,21.5431,21.5936,21.6565,21.7221,21.7727,21.8126,21.8408,21.8629
DC03,Control,-31.6228,-31.6216,-31.6181,-31.6178,-31.6153,-31.618,-31.6145,-31.6154,43.0285,43.0374,43.0385,43.0457,43.0505,43.0539,43.0548,43.0606,43.0613,42.3805,42.3972,42.4057,42.4244,42.4385,42.4484,42.4537,42.4621,42.4635,23.6512,23.6556,23.654,23.6583,23.658,23.6603,23.6593,23.6618,23.6607,19.6598,19.665,19.6656,19.6733,19.6761,19.6834,19.6826,19.683,19.6837,30.7394,30.7424,30.7425,30.7446,30.7521,30.7492,30.7507,30.7523,30.7486,-29.0871,-29.0551,-29.0347,-28.9982,-28.9706,-28.9525,-28.9295,-28.9179,-28.9024,5.3722,5.6662,5.9008,6.2381,6.5483,6.6682,6.7909,6.8459,6.9051,31.8817,31.9138,31.9324,31.9678,31.9957,32.0101,32.0208,32.0333,32.0364,21.657,21.6995,21.7342,21.7839,21.834,21.8712,21.9027,21.9261,21.9403
DC04,Control,-32.3749,-32.3721,-32.3697,-32.3691,-32.3672,-32.3646,-32.3648,-32.3659,43.1143,43.1141,43.1184,43.1212,43.1226,43.1291,43.133,43.1345,43.1345,43.0265,43.028,43.0365,43.044,43.0538,43.0652,43.0715,43.0741,43.0802,22.7306,22.7312,22.7357,22.7376,22.7365,22.7395,22.7423,22.7418,22.7416,18.6479,18.6494,18.6573,18.6563,18.6597,18.6641,18.6652,18.664,18.6671,30.5644,30.5632,30.5658,30.5668,30.5686,30.5723,30.5722,30.5716,30.5737,-28.0757,-28.0795,-28.0616,-28.0487,-28.0233,-28.0004,-27.9846,-27.9691,-27.9524,15.786,15.9097,16.0239,16.3317,16.6667,16.9057,17.0305,17.1293,17.2439,32.2735,32.2811,32.2928,32.3108,32.3351,32.3564,32.3695,32.3768,32.3873,22.1607,22.1556,22.1564,22.1819,22.2205,22.2605,22.2899,22.3137,22.3374
DC09,Control,-32.237,-32.2367,-32.2325,-32.2326,-32.2311,-32.2312,-32.2295,-32.2297,43.1604,43.1713,43.1788,43.1862,43.1892,43.1966,43.1962,43.2027,43.2019,43.0317,43.0637,43.0835,43.1043,43.1155,43.129,43.1319,43.1424,43.1431,22.8985,22.8997,22.8999,22.9038,22.9025,22.9065,22.9044,22.9071,22.9048,18.8367,18.8462,18.8524,18.8615,18.8606,18.8638,18.8648,18.868,18.8661,30.6029,30.6048,30.6079,30.6117,30.6131,30.6164,30.6124,30.6159,30.6143,-27.9564,-27.8888,-27.849,-27.8019,-27.7667,-27.7389,-27.7183,-27.6997,-27.6876,15.9798,16.9682,17.4849,17.8624,18.1161,18.2748,18.3698,18.4393,18.4735,32.4032,32.4768,32.5181,32.5555,32.5771,32.5964,32.603,32.6184,32.6208,21.971,22.1188,22.2314,22.3226,22.394,22.4478,22.4854,22.5142,22.5337
DC10,Control,-31.871,-31.8673,-31.8657,-31.8624,-31.8623,-31.8618,-31.8621,-31.8612,43.1415,43.1601,43.1704,43.1806,43.1886,43.1958,43.1961,43.1987,43.2027,42.7878,42.843,42.8736,42.9016,42.9236,42.9393,42.9468,42.9522,42.9618,23.344,23.349,23.3488,23.3499,23.3518,23.3539,23.3519,23.35,23.352,19.3356,19.3501,19.3553,19.3638,19.367,19.3755,19.3755,19.3761,19.379,30.6973,30.7067,30.7074,30.7112,30.7138,30.7158,30.7123,30.7116,30.7111,-28.3514,-28.2414,-28.1705,-28.11,-28.0558,-28.0293,-27.9949,-27.9684,-27.9459,11.4413,12.7976,13.4643,13.991,14.3121,14.4628,14.5481,14.6269,14.7021,32.3237,32.4395,32.4977,32.549,32.5856,32.6078,32.6186,32.6284,32.6398,21.4787,21.7063,21.8758,22.0091,22.1116,22.1808,22.2275,22.2633,22.2872
DC11,Control,-31.5566,-31.554,-31.5523,-31.5504,-31.5499,-31.5487,-31.5491,-31.5474,43.0675,43.08,43.087,43.0972,43.104,43.111,43.1147,43.1176,43.1195,42.4488,42.4886,42.5149,42.5413,42.5586,42.5703,42.5797,42.5863,42.5909,23.7232,23.7257,23.7243,23.7273,23.7302,23.7304,23.7302,23.7306,23.7309,19.7444,19.7571,19.7604,19.7644,19.771,19.7779,19.7791,19.776,19.777,30.7586,30.7674,30.7655,30.7676,30.7743,30.7739,30.774,30.7751,30.7733,-28.8305,-28.7539,-28.701,-28.6481,-28.6082,-28.5805,-28.5591,-28.5317,-28.5173,6.786,7.6808,8.1969,8.6142,8.8688,8.9934,9.0624,9.1152,9.1522,32.0871,32.1679,32.2155,32.2604,32.2909,32.308,32.3192,32.3303,32.336,22.1646,22.3269,22.4471,22.5496,22.6293,22.6859,22.7285,22.7589,22.7782
DC12,Control,-31.2587,-31.2544,-31.2521,-31.2512,-31.2517,-31.2509,-31.2505,-31.2487,42.9956,43.0177,43.0319,43.0424,43.0532,43.0613,43.0631,43.0689,43.0746,42.2185,42.2899,42.3327,42.3665,42.3901,42.4062,42.4153,42.4274,42.4382,24.0572,24.0576,24.0598,24.0618,24.0646,24.0631,24.0616,24.0628,24.0637,20.1271,20.1432,20.1525,20.1614,20.1691,20.1687,20.1716,20.1722,20.1767,30.8066,30.816,30.8197,30.8221,30.8267,30.8248,30.8241,30.8237,30.8256,-28.9429,-28.8043,-28.7132,-28.6411,-28.5924,-28.5503,-28.5134,-28.4873,-28.4525,3.2151,4.84,5.5803,6.0274,6.3059,6.4714,6.5641,6.6209,6.6795,32.0651,32.2203,32.2969,32.3505,32.388,32.4112,32.4247,32.4376,32.4505,21.4376,21.7786,22.0046,22.1655,22.2771,22.3549,22.4065,22.4428,22.4721
DC14,Control,-31.9492,-31.9451,-31.9427,-31.9398,-31.9402,-31.9397,-31.9408,-31.9386,43.1482,43.1599,43.1726,43.1834,43.1897,43.1931,43.1958,43.2007,43.2043,42.8219,42.8651,42.8968,42.9235,42.9418,42.9526,42.9599,42.9698,42.9795,23.2555,23.2563,23.2588,23.2619,23.2633,23.262,23.2609,23.2619,23.2651,19.2414,19.2482,19.258,19.2639,19.2706,19.271,19.27,19.2725,19.2799,30.6796,30.6843,30.6917,30.6958,30.6964,30.6952,30.6934,30.6949,30.7002,-28.3352,-28.2421,-28.1782,-28.1198,-28.0784,-28.0471,-28.0169,-27.9941,-27.971,12.0845,13.2715,13.905,14.377,14.6691,14.8337,14.9538,15.0414,15.088,32.3031,32.3954,32.4545,32.5021,32.5322,32.5495,32.5628,32.5774,32.5887,21.4609,21.6579,21.8083,21.9269,22.0185,22.0839,22.1281,22.1634,22.1859
DC15,Control,-31.5005,-31.4973,-31.4951,-31.4951,-31.4937,-31.4935,-31.4945,-31.4919,43.0656,43.0855,43.0968,43.1075,43.1115,43.118,43.1268,43.1264,43.1319,42.4398,42.496,42.5311,42.5596,42.5786,42.59,42.6054,42.6092,42.6176,23.7855,23.7899,23.7923,23.7924,23.7909,23.7914,23.7936,23.7916,23.7945,19.822,19.8352,19.8404,19.8518,19.8483,19.8525,19.8589,19.8553,19.8587,30.7711,30.7843,30.7863,30.7895,30.7906,30.7876,30.7901,30.7867,30.7903,-28.7958,-28.6864,-28.6155,-28.5544,-28.5087,-28.4738,-28.4435,-28.4237,-28.4022,6.5526,7.7876,8.3904,8.8735,9.1675,9.2743,9.3848,9.4293,9.4349,32.1401,32.2558,32.317,32.3681,32.3989,32.4152,32.4355,32.44,32.4498,23.1718,23.3779,23.5261,23.6456,23.7346,23.7946,23.8372,23.8652,23.8856
DC16,Control,-31.1414,-31.1375,-31.1363,-31.1354,-31.1344,-31.1337,-31.136,-31.1339,42.9489,42.9702,42.9879,42.9987,43.0056,43.0156,43.0196,43.0227,43.0283,42.037,42.1082,42.1556,42.1841,42.205,42.2248,42.2372,42.2458,42.2554,24.195,24.1995,24.2034,24.2013,24.202,24.2049,24.2037,24.2045,24.205,20.2886,20.306,20.3188,20.3231,20.3248,20.3344,20.3353,20.3336,20.338,30.8319,30.8426,30.8497,30.8494,30.8508,30.8556,30.8538,30.8518,30.854,-29.2207,-29.082,-28.997,-28.9404,-28.8876,-28.8517,-28.8175,-28.7915,-28.7641,-0.0224,1.3918,2.0883,2.5156,2.735,2.8809,2.9952,3.0477,3.0835,31.8929,32.0384,32.1193,32.1694,32.2,32.2258,32.2434,32.2522,32.2646,20.8156,21.1325,21.3466,21.4975,21.6006,21.6728,21.7247,21.7577,21.7831
DC17,Control,-32.1436,-32.1403,-32.1385,-32.1374,-32.1356,-32.1351,-32.1355,-32.1348,43.1516,43.162,43.1714,43.1771,43.1855,43.1865,43.1927,43.1947,43.1988,42.9556,42.9931,43.0177,43.0379,43.0554,43.0631,43.0746,43.0776,43.0869,23.0125,23.0161,23.0152,23.0178,23.0178,23.0174,23.0209,23.0186,23.0222,18.9648,18.9691,18.9779,18.9851,18.9881,18.9927,18.9964,18.9968,19.0005,30.6272,30.6321,30.6345,30.6354,30.6377,30.6352,30.6423,30.6367,30.6413,-28.0984,-28.0223,-27.9652,-27.9135,-27.8768,-27.8536,-27.8252,-27.8089,-27.7876,14.3169,15.4221,15.9994,16.3743,16.6646,16.8011,16.9125,16.9772,17.0314,32.3585,32.4433,32.4917,32.5269,32.5593,32.5712,32.5892,32.5947,32.6057,21.665,21.8347,21.9652,22.0665,22.1478,22.2029,22.245,22.2726,22.2943
DC18,Control,-31.2974,-31.2923,-31.2914,-31.291,-31.289,-31.2889,-31.2889,-31.288,42.994,43.0155,43.028,43.0403,43.0476,43.0564,43.0631,43.0674,43.0705,42.2202,42.2869,42.3292,42.3601,42.3826,42.3998,42.4133,42.4241,42.4315,24.013,24.0168,24.0178,24.0197,24.0189,24.02,24.0199,24.0202,24.0202,20.0804,20.1017,20.1063,20.1152,20.1179,20.121,20.124,20.1265,20.128,30.7987,30.8046,30.8105,30.8132,30.8153,30.8137,30.8168,30.8173,30.8143,-29.0055,-28.8755,-28.7939,-28.7262,-28.6732,-28.6315,-28.5974,-28.5699,-28.5417,3.2442,4.7587,5.4768,5.9442,6.2353,6.4119,6.5277,6.6067,6.6654,32.0168,32.1612,32.2376,32.2892,32.3261,32.351,32.3692,32.3827,32.393,21.4907,21.8078,22.0199,22.1741,22.2862,22.3638,22.4178,22.4569,22.486
DE01,SE,-32.4821,-32.4786,-32.4751,-32.4727,-32.4733,-32.4703,-32.4723,-32.4702,43.7713,43.7997,43.8178,43.83,43.8461,43.8514,43.8643,43.871,43.8774,42.1664,42.2534,42.3033,42.3416,42.3763,42.3963,42.4169,42.4291,42.443,22.6629,22.6719,22.6725,22.6742,22.6762,22.6762,22.6792,22.6771,22.6805,18.4711,18.4946,18.5025,18.5114,18.521,18.5214,18.5305,18.525,18.536,30.5055,30.5169,30.5209,30.5172,30.5295,30.5196,30.5238,30.5234,30.5241,-31.6218,-31.4642,-31.36,-31.2754,-31.2046,-31.1507,-31.1136,-31.0674,-31.0305,2.3299,4.1862,5.1554,5.7681,6.2346,6.513,6.714,6.8619,6.9549,30.2037,30.3849,30.4803,30.5465,30.6022,30.6347,30.665,30.6823,30.7011,34.1256,34.6156,34.9256,35.1359,35.2923,35.398,35.4743,35.5287,35.5691
DE02,SE,-31.8151,-31.8096,-31.8055,-31.8032,-31.8015,-31.8007,-31.8,-31.8003,43.7021,43.7557,43.7917,43.8188,43.8436,43.8651,43.8792,43.894,43.906,41.9548,42.1305,42.2362,42.3116,42.3694,42.4131,42.4464,42.4727,42.4941,23.4463,23.4535,23.456,23.4582,23.4602,23.4617,23.4618,23.4615,23.4621,19.4054,19.4422,19.4653,19.4817,19.4955,19.5038,19.5051,19.5119,19.5125,30.6828,30.7062,30.716,30.7194,30.7261,30.7284,30.7265,30.7282,30.7281,-31.3669,-31.0407,-30.8359,-30.6758,-30.5553,-30.4553,-30.3708,-30.3028,-30.2444,-0.7581,2.6605,4.3725,5.4262,6.1097,6.5573,6.8565,7.0678,7.2303,30.5999,30.9594,31.1447,31.2658,31.3518,31.4139,31.4563,31.4923,31.5193,32.4833,33.4724,34.0672,34.4542,34.7082,34.8778,34.9938,35.0759,35.1358
DE03,SE,-32.1704,-32.1709,-32.1702,-32.1702,-32.1701,-32.1689,-32.1675,-32.1673,43.9137,43.8926,43.8796,43.8768,43.8691,43.8606,43.8561,43.8546,43.8517,42.5701,42.5028,42.469,42.4521,42.4399,42.4255,42.4162,42.4117,42.4071,23.038,23.0352,23.0371,23.04,23.0402,23.0385,23.0402,23.0424,23.0442,18.9141,18.8997,18.8978,18.8928,18.8955,18.8877,18.888,18.8934,18.8878,30.5861,30.5769,30.5734,30.5727,30.5743,30.5733,30.5705,30.5752,30.5773,-30.4882,-30.6185,-30.692,-30.7317,-30.7625,-30.7896,-30.8189,-30.8351,-30.8514,0.6678,-0.6777,-1.2262,-1.3919,-1.4594,-1.5222,-1.5922,-1.6304,-1.642,31.1881,31.0486,30.9862,30.9626,30.9476,30.9322,30.9204,30.9157,30.9114,35.9192,35.4999,35.2678,35.1559,35.0968,35.0536,35.0232,35.0032,34.9915
DE04,SE,-31.7326,-31.7293,-31.7262,-31.7249,-31.7231,-31.7228,-31.7217,-31.7216,43.5292,43.5601,43.5776,43.5977,43.6079,43.6222,43.6295,43.6403,43.6458,41.5322,41.6287,41.6823,41.7326,41.7664,41.7978,41.816,41.8367,41.8482,23.5662,23.5722,23.5715,23.5756,23.5754,23.5778,23.576,23.5787,23.576,19.5427,19.5652,19.5739,19.5822,19.589,19.5986,19.5975,19.6053,19.602,30.6801,30.6935,30.6946,30.7038,30.703,30.7068,30.7078,30.708,30.707,-32.0604,-31.9017,-31.797,-31.7008,-31.6332,-31.57,-31.5221,-31.477,-31.4454,-7.3498,-5.7556,-4.9513,-4.3328,-3.8903,-3.5962,-3.4144,-3.275,-3.1749,29.9882,30.1797,30.2743,30.3566,30.4113,30.4564,30.4813,30.5081,30.5235,31.1893,31.6643,31.9474,32.1592,32.3132,32.4228,32.4943,32.5478,32.5865
DE06,SE,-31.5336,-31.5286,-31.526,-31.5267,-31.5261,-31.5245,-31.5269,-31.5252,43.5295,43.5796,43.6065,43.6308,43.6494,43.661,43.6778,43.6868,43.6975,41.5302,41.6824,41.7695,41.833,41.8751,41.9055,41.9339,41.9499,41.969,23.7786,23.7852,23.786,23.7874,23.7863,23.7858,23.7883,23.7857,23.7881,19.7885,19.8225,19.8311,19.8474,19.8527,19.8538,19.8594,19.8608,19.8708,30.7153,30.7361,30.739,30.7431,30.746,30.7432,30.7471,30.7432,30.744,-31.6988,-31.4347,-31.2604,-31.1349,-31.055,-30.9813,-30.9145,-30.8606,-30.8206,-5.7443,-3.1977,-1.9189,-1.1862,-0.7585,-0.5316,-0.3534,-0.2444,-0.1739,30.2789,30.5817,30.73,30.8253,30.8849,30.9199,30.9538,30.9731,30.9933,31.2115,31.9953,32.4617,32.7537,32.9336,33.0412,33.1144,33.1621,33.1943
DE07,SE,-32.3745,-32.3687,-32.3665,-32.3645,-32.3637,-32.3646,-32.3625,-32.3623,43.7989,43.8284,43.8508,43.8695,43.8802,43.8962,43.9038,43.9123,43.9211,42.1742,42.2766,42.3442,42.3912,42.4232,42.4509,42.4688,42.487,42.5007,22.7957,22.7991,22.8038,22.8048,22.8046,22.807,22.8048,22.8082,22.8061,18.6248,18.646,18.6623,18.6668,18.6746,18.6821,18.6827,18.6891,18.69,30.539,30.5512,30.561,30.5637,30.5668,30.5688,30.5688,30.568,30.5695,-31.485,-31.2893,-31.1663,-31.06,-30.9926,-30.924,-30.8755,-30.8324,-30.7953,2.8618,5.2182,6.3768,7.1355,7.5593,7.8509,8.0543,8.1843,8.322,30.3244,30.5464,30.6672,30.7497,30.7989,30.8388,30.8655,30.8892,30.9078,33.9723,34.5995,34.9885,35.2519,35.418,35.5341,35.6125,35.6718,35.7185
DE09,SE,-31.7695,-31.7641,-31.7612,-31.7599,-31.7589,-31.7581,-31.7564,-31.7578,43.6831,43.7393,43.7749,43.8008,43.824,43.8408,43.8561,43.8701,43.8827,41.9335,42.1099,42.2153,42.2884,42.3423,42.3812,42.4126,42.4376,42.4597,23.5011,23.5095,23.5122,23.5134,23.5139,23.5142,23.5143,23.5158,23.514,19.4692,19.5053,19.526,19.5407,19.5514,19.5603,19.5682,19.5673,19.5709,30.6877,30.7094,30.7212,30.7275,30.7304,30.7324,30.7298,30.7311,30.7311,-31.3389,-31.0168,-30.8153,-30.6573,-30.5377,-30.4523,-30.3704,-30.3056,-30.2432,-1.1443,2.2507,3.9308,4.9511,5.5707,5.9537,6.2111,6.3968,6.5365,30.6321,30.9911,31.1753,31.2926,31.371,31.4242,31.464,31.495,31.5191,32.3149,33.2953,33.8852,34.2643,34.5066,34.66,34.7631,34.8381,34.894
DE10,SE,-32.0631,-32.0651,-32.0641,-32.0642,-32.0641,-32.0639,-32.0635,-32.0623,43.9187,43.9033,43.8903,43.8817,43.877,43.8716,43.8662,43.8593,43.8545,42.5588,42.5048,42.4738,42.4548,42.4392,42.4273,42.4159,42.4067,42.3995,23.1689,23.1673,23.1677,23.1684,23.1685,23.1681,23.1685,23.1673,23.168,19.0731,19.0615,19.0556,19.0524,19.0491,19.0479,19.0456,19.0473,19.0471,30.6133,30.6054,30.6012,30.6039,30.6027,30.6008,30.5988,30.6002,30.6011,-30.4,-30.5092,-30.576,-30.6201,-30.6561,-30.6836,-30.7071,-30.7296,-30.7555,0.1407,-0.9838,-1.4401,-1.6377,-1.7786,-1.8794,-1.9556,-2.0203,-2.0751,31.256,31.1411,31.0862,31.0572,31.0372,31.0202,31.0083,30.9967,30.9869,35.6552,35.2971,35.0959,34.9897,34.9231,34.8776,34.842,34.8172,34.7948
