,treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
DF15,SF,-32.7165,-32.7134,-32.7114,-32.7087,-32.7079,-32.7077,-32.7081,-32.7068,44.064,44.0799,44.0881,44.0977,44.1057,44.1146,44.118,44.1233,44.1245,43.5049,43.5535,43.5839,43.608,43.6287,43.6444,43.6555,43.6623,43.6682,22.2827,22.285,22.2849,22.2864,22.2875,22.2905,22.2902,22.2894,22.2903,18.0248,18.0372,18.0435,18.0509,18.0556,18.062,18.0638,18.0616,18.0635,30.3582,30.365,30.368,30.3698,30.3705,30.3722,30.3731,30.3746,30.3744,-29.4158,-29.3144,-29.2415,-29.1795,-29.1354,-29.0956,-29.0589,-29.035,-29.0198,21.9205,23.3359,24.0526,24.5658,24.8825,25.0987,25.2551,25.352,25.4088,31.7506,31.8629,31.9242,31.97,32.0044,32.0302,32.0488,32.0605,32.0683,41.5394,41.8851,42.1033,42.2636,42.3773,42.4593,42.5159,42.5582,42.5867
DF16,SF,-33.1093,-33.0936,-33.0852,-33.0794,-33.0782,-33.0767,-33.0759,-33.0759,44.2358,44.3256,44.3866,44.4313,44.4654,44.4933,44.5199,44.542,44.5581,43.2616,43.5291,43.6967,43.8118,43.8953,43.959,44.007,44.0438,44.0692,21.794,21.81,21.8167,21.823,21.8252,21.8248,21.8252,21.8279,21.8268,17.544,17.6147,17.6654,17.6963,17.7201,17.7367,17.7476,17.7638,17.7657,30.3452,30.3842,30.4071,30.4218,30.4285,30.4306,30.4333,30.4367,30.4343,-29.0767,-28.4764,-28.0749,-27.7828,-27.5465,-27.3575,-27.1979,-27.0738,-26.969,22.3883,31.0025,35.1085,37.3062,38.656,39.559,40.0916,40.3545,40.4577,31.5148,32.1276,32.4692,32.6821,32.8268,32.9328,33.0087,33.0611,33.0913,39.1287,41.0079,42.2881,43.1558,43.7634,44.2158,44.5449,44.7821,44.9525
DF17,SF,-32.8995,-32.8969,-32.8933,-32.8934,-32.8911,-32.8915,-32.8909,-32.8906,44.1397,44.1562,44.1625,44.1719,44.177,44.1846,44.1877,44.1928,44.1935,43.6625,43.7097,43.7344,43.7592,43.7739,43.7888,43.7952,43.8054,43.8091,22.0459,22.0515,22.0509,22.0542,22.0533,22.0544,22.0551,22.056,22.0547,17.7872,17.7985,17.8014,17.8078,17.8126,17.8181,17.8187,17.8201,17.825,30.2932,30.304,30.3051,30.31,30.3081,30.3105,30.3103,30.3124,30.3097,-29.2021,-29.1059,-29.0443,-28.9822,-28.9519,-28.9157,-28.8873,-28.8582,-28.837,24.8936,26.2308,26.8864,27.4213,27.7177,27.9486,28.0646,28.1951,28.2452,31.7515,31.856,31.9079,31.958,31.983,32.0109,32.0211,32.0376,32.044,42.5064,42.8138,43.0094,43.1649,43.2718,43.3522,43.4065,43.4536,43.4835
DF18,SF,-34.7032,-34.7031,-34.7033,-34.7009,-34.6986,-34.6989,-34.6952,-34.6962,44.9043,44.9002,44.8977,44.894,44.8928,44.893,44.8872,44.8904,44.8866,44.0793,44.0644,44.0557,44.0498,44.0481,44.0499,44.0454,44.0474,44.0448,19.5263,19.5278,19.5298,19.5298,19.5337,19.5369,19.5363,19.5406,19.5394,15.219,15.216,15.2152,15.2159,15.2164,15.22,15.2203,15.2261,15.224,29.6755,29.6736,29.6744,29.6722,29.6748,29.677,29.6747,29.6776,29.6745,-25.3047,-25.3465,-25.3795,-25.3988,-25.4144,-25.4156,-25.429,-25.4287,-25.4404,39.4009,39.2935,39.2893,39.412,39.4486,39.5604,39.5563,39.6187,39.6019,32.1621,32.1265,32.1033,32.0914,32.085,32.0907,32.0827,32.0882,32.0811,56.1551,56.0383,55.9283,55.8494,55.7896,55.7539,55.7153,55.6923,55.6601
DH01,CG,-30.6854,-30.6833,-30.6788,-30.6767,-30.6773,-30.6773,-30.6753,-30.6749,42.6657,42.6755,42.6824,42.692,42.7002,42.7051,42.7051,42.7112,42.7162,41.0008,41.0284,41.0525,41.0787,41.1027,41.1168,41.1252,41.1365,41.1479,24.7069,24.7076,24.7103,24.7138,24.7168,24.7158,24.7127,24.7156,24.7177,20.8436,20.8479,20.8543,20.8594,20.8652,20.8677,20.8633,20.867,20.8705,30.8316,30.8382,30.841,30.8428,30.8437,30.8454,30.841,30.845,30.8493,-30.1431,-30.0878,-30.051,-30.0023,-29.9566,-29.9384,-29.9121,-29.8896,-29.8656,-9.0255,-8.6183,-8.3061,-7.9643,-7.6938,-7.5179,-7.4143,-7.3442,-7.2567,30.9973,31.05,31.0903,31.1359,31.1773,31.2003,31.2138,31.2284,31.2447,19.1186,19.216,19.2937,19.3746,19.4489,19.5071,19.5442,19.5768,19.6023
DH02,CG,-30.8758,-30.8745,-30.8718,-30.8706,-30.8705,-30.87,-30.8687,-30.8699,42.7584,42.7621,42.7611,42.7654,42.7699,42.7705,42.776,42.7763,42.7775,41.3262,41.3312,41.3348,41.3474,41.36,41.366,41.375,41.3781,41.3815,24.5042,24.5078,24.5079,24.5091,24.511,24.5092,24.5119,24.5113,24.5102,20.6094,20.6117,20.6133,20.6201,20.6216,20.621,20.6241,20.6234,20.6256,30.8188,30.8234,30.8223,30.8273,30.8319,30.8299,30.8329,30.831,30.8292,-30.0022,-30.0063,-29.998,-29.9757,-29.9504,-29.9407,-29.9256,-29.9138,-29.9018,-7.0654,-7.0044,-6.9079,-6.6812,-6.5189,-6.4037,-6.318,-6.2792,-6.2172,31.2573,31.2675,31.2747,31.3024,31.3246,31.3369,31.3515,31.355,31.3635,19.6447,19.641,19.6463,19.6796,19.7118,19.7401,19.763,19.7771,19.7946
DH03,CG,-31.2134,-31.2121,-31.2067,-31.2051,-31.207,-31.2054,-31.2058,-31.2034,42.8802,42.8974,42.9039,42.9144,42.9228,42.9263,42.9337,42.9388,42.9422,41.7903,41.8357,41.8644,41.8944,41.9189,41.931,41.9461,41.9567,41.9624,24.0981,24.0991,24.0999,24.1038,24.1047,24.1023,24.1051,24.1045,24.1022,20.0129,20.028,20.0314,20.0411,20.0407,20.0421,20.0431,20.047,20.0468,30.675,30.6798,30.6828,30.6859,30.6861,30.6879,30.6864,30.6869,30.6858,-29.4188,-29.3282,-29.2777,-29.2185,-29.1612,-29.1291,-29.0917,-29.0653,-29.0465,4.9459,5.9681,6.5023,6.9749,7.349,7.5461,7.6772,7.7978,7.8552,31.4837,31.5816,31.6351,31.6892,31.7308,31.751,31.7719,31.7881,31.7963,22.0273,22.2416,22.3871,22.514,22.6181,22.6912,22.7451,22.787,22.8134
DH04,CG,-30.9744,-30.97,-30.968,-30.9687,-30.9672,-30.9661,-30.9651,-30.9654,42.8626,42.8848,42.9013,42.913,42.9212,42.9285,42.9377,42.945,42.9493,41.6823,41.7534,41.8013,41.8345,41.8584,41.8788,41.8958,41.9098,41.9186,24.374,24.3763,24.3795,24.3811,24.3803,24.3806,24.3813,24.383,24.383,20.4402,20.4523,20.4655,20.4739,20.4776,20.4773,20.4803,20.4863,20.485,30.8166,30.829,30.8313,30.8328,30.8317,30.8356,30.8344,30.8357,30.8354,-29.3746,-29.2411,-29.1541,-29.0827,-29.0337,-28.9876,-28.9431,-28.9106,-28.8793,-0.6816,0.6749,1.3564,1.8166,2.1323,2.3385,2.4776,2.5658,2.6258,31.7125,31.8552,31.937,31.9907,32.0307,32.059,32.0832,32.1003,32.1127,20.6385,20.9517,21.159,21.3142,21.4303,21.5105,21.5706,21.6127,21.6439
DH05,CG,-30.7413,-30.7405,-30.7389,-30.7367,-30.7354,-30.7369,-30.7365,-30.7335,42.7042,42.71,42.7147,42.7179,42.7259,42.7291,42.7292,42.7343,42.7375,41.1462,41.1666,41.1809,41.1959,41.2137,41.2245,41.2303,41.2398,41.2484,24.6456,24.6492,24.6502,24.6482,24.6516,24.6529,24.6513,24.6518,24.6548,20.768,20.775,20.7768,20.7794,20.7879,20.7889,20.7909,20.7902,20.79,30.8277,30.8329,30.8333,30.8318,30.835,30.832,30.8336,30.8371,30.8382,-30.0023,-29.9732,-29.9492,-29.9172,-29.8925,-29.8719,-29.8523,-29.839,-29.8213,-8.0403,-7.7443,-7.556,-7.2859,-7.058,-6.9408,-6.8467,-6.7577,-6.7103,31.1614,31.1999,31.224,31.2528,31.287,31.3034,31.3134,31.3283,31.3387,19.3723,19.4265,19.4696,19.5227,19.5797,19.6192,19.649,19.6774,19.6985
DH06,CG,-30.7058,-30.7038,-30.7018,-30.6989,-30.6988,-30.6981,-30.6974,-30.6975,42.6885,42.7029,42.7078,42.7184,42.7284,42.7306,42.7364,42.7427,42.7456,41.0755,41.1113,41.1343,41.1626,41.1868,41.1979,41.2093,41.2219,41.2266,24.685,24.6903,24.6895,24.6906,24.6939,24.6927,24.6914,24.6952,24.6926,20.8286,20.842,20.8412,20.8396,20.852,20.8487,20.8489,20.8582,20.8529,30.8313,30.8384,30.8397,30.8408,30.8458,30.8418,30.8441,30.8455,30.8472,-30.0839,-30.0272,-29.9841,-29.9343,-29.8889,-29.8638,-29.8396,-29.8191,-29.8053,-8.5952,-8.0988,-7.798,-7.4078,-7.1458,-7.0194,-6.9117,-6.8511,-6.8175,31.0917,31.1582,31.1963,31.2467,31.2868,31.3044,31.3215,31.3368,31.3431,19.201,19.3223,19.4054,19.4925,19.5707,19.6228,19.6613,19.6899,19.709
DH07,CG,-31.1889,-31.1859,-31.1832,-31.1828,-31.1823,-31.1818,-31.1819,-31.1816,42.899,42.9225,42.9363,42.9463,42.9554,42.9617,42.9657,42.972,42.9751,41.8686,41.9415,41.9829,42.0162,42.0388,42.0563,42.067,42.0797,42.0846,24.1143,24.1204,24.1202,24.1226,24.1218,24.1235,24.121,24.1242,24.1205,20.0362,20.0542,20.0609,20.072,20.0714,20.0758,20.0725,20.0776,20.0748,30.6842,30.6924,30.7007,30.7009,30.7015,30.7049,30.7033,30.7041,30.7051,-29.1649,-29.0289,-28.9421,-28.872,-28.8234,-28.7781,-28.748,-28.7165,-28.6931,6.6224,8.1599,8.9182,9.3943,9.7038,9.85,9.9588,10.0214,10.0708,31.6933,31.8418,31.9185,31.9734,32.0102,32.0339,32.0485,32.0636,32.0709,22.1465,22.4849,22.7092,22.8736,22.9902,23.0685,23.1238,23.1616,23.1856
DH08,CG,-30.9175,-30.912,-30.9096,-30.9125,-30.9111,-30.9107,-30.9096,-30.909,42.846,42.8755,42.8939,42.9062,42.9144,42.9233,42.9328,42.94,42.9438,41.6612,41.7513,41.8051,41.8424,41.8686,41.8872,41.9051,41.9184,41.9286,24.4347,24.4382,24.4423,24.4435,24.4421,24.4413,24.4418,24.4452,24.4455,20.5185,20.5372,20.5545,20.5582,20.5621,20.5665,20.567,20.5709,20.5721,30.828,30.8394,30.8447,30.8498,30.8486,30.8477,30.8525,30.8481,30.8497,-29.3201,-29.1544,-29.0516,-28.9758,-28.9139,-28.8645,-28.8263,-28.7908,-28.7603,-0.9224,0.7429,1.5183,1.9802,2.2554,2.432,2.55,2.625,2.6667,31.7705,31.951,32.0439,32.101,32.1365,32.1637,32.1868,32.2026,32.2141,20.4768,20.8682,21.1188,21.2959,21.418,21.5007,21.5616,21.6029,21.6324
DH09,CG,-30.6776,-30.6749,-30.6736,-30.6721,-30.6708,-30.6716,-30.672,-30.672,42.7264,42.7501,42.7648,42.7739,42.7812,42.7914,42.7933,42.7973,42.8048,41.1847,41.2521,41.2945,41.3271,41.3492,41.3682,41.3783,41.3875,41.3986,24.7088,24.7122,24.7158,24.7166,24.7153,24.718,24.7161,24.715,24.7179,20.8484,20.866,20.8763,20.8802,20.882,20.8906,20.89,20.8868,20.8885,30.8459,30.8549,30.8574,30.8605,30.8614,30.8649,30.863,30.8632,30.8649,-29.7987,-29.6804,-29.6064,-29.5456,-29.5034,-29.4647,-29.4337,-29.4098,-29.3883,-6.9235,-5.8849,-5.3703,-4.9822,-4.7397,-4.6301,-4.5779,-4.5135,-4.4802,31.3329,31.4623,31.5321,31.5831,31.6175,31.6411,31.6521,31.663,31.6757,19.4102,19.6685,19.8361,19.9666,20.0627,20.1249,20.1691,20.1968,20.222
DH10,CG,-30.657,-30.6531,-30.6518,-30.6515,-30.6513,-30.6517,-30.6511,-30.6506,42.6855,42.7012,42.7147,42.7208,42.7241,42.7295,42.7353,42.7376,42.744,41.0842,41.1358,41.1747,41.1971,41.2105,41.2222,41.233,41.241,41.2498,24.7328,24.7331,24.7374,24.7361,24.7348,24.7341,24.734,24.7348,24.7353,20.8696,20.8771,20.8876,20.8919,20.8954,20.8948,20.8975,20.8954,20.8962,30.8342,30.8389,30.8453,30.8469,30.8438,30.8451,30.8449,30.8458,30.8459,-29.8545,-29.7612,-29.6977,-29.6532,-29.6167,-29.5945,-29.5685,-29.5479,-29.5323,-7.4546,-6.599,-6.168,-5.9334,-5.8005,-5.7169,-5.6573,-5.6123,-5.5818,31.2072,31.3093,31.3707,31.4036,31.422,31.4388,31.4512,31.4609,31.4682,19.3044,19.5187,19.662,19.759,19.8264,19.8721,19.9051,19.9311,19.9509
DH11,CG,-30.8454,-30.8421,-30.8429,-30.8412,-30.8408,-30.8403,-30.8407,-30.8404,42.802,42.81,42.8172,42.8214,42.8251,42.8287,42.8298,42.8356,42.8307,41.4294,41.4574,41.4798,41.491,41.5019,41.5099,41.5143,41.5219,41.5218,24.5335,24.534,24.5386,24.5359,24.538,24.5363,24.5372,24.5379,24.5369,20.6488,20.6528,20.6572,20.6589,20.661,20.663,20.662,20.6665,20.6655,30.8349,30.8369,30.8401,30.8405,30.8414,30.8407,30.8406,30.8426,30.8422,-29.7122,-29.6629,-29.6237,-29.598,-29.5737,-29.5643,-29.5452,-29.5294,-29.5231,-5.333,-4.8288,-4.5692,-4.3784,-4.291,-4.2044,-4.1863,-4.1352,-4.1333,31.4755,31.5304,31.566,31.5892,31.6042,31.6173,31.6209,31.6315,31.6314,19.902,20.0146,20.0909,20.1493,20.1911,20.2232,20.2419,20.258,20.2676
DH12,CG,-30.6995,-30.6962,-30.6949,-30.6947,-30.6942,-30.6954,-30.6937,-30.6931,42.7165,42.7321,42.7459,42.756,42.7603,42.7629,42.7696,42.7725,42.7761,41.2043,41.2628,41.3014,41.3266,41.3416,41.353,41.3643,41.3748,41.3808,24.6834,24.6851,24.689,24.6903,24.689,24.6874,24.6873,24.689,24.6896,20.817,20.828,20.8405,20.8475,20.8478,20.8451,20.8492,20.8554,20.8526,30.8367,30.847,30.8518,30.8556,30.857,30.8552,30.8546,30.8584,30.8584,-29.786,-29.6845,-29.6179,-29.5704,-29.5316,-29.501,-29.4812,-29.457,-29.4406,-6.7625,-5.7785,-5.3093,-5.0443,-4.9003,-4.8053,-4.7385,-4.6976,-4.6756,31.3325,31.4493,31.5124,31.5497,31.5712,31.5864,31.6012,31.6119,31.6194,19.442,19.6759,19.8289,19.9354,20.0078,20.0575,20.0957,20.1214,20.14
DH13,CG,-30.9443,-30.939,-30.9369,-30.9367,-30.9355,-30.9376,-30.9353,-30.936,42.8571,42.8828,42.902,42.9132,42.9266,42.9312,42.9399,42.9467,42.9501,41.689,41.7723,41.828,41.8603,41.8894,41.908,41.9215,41.9357,41.9426,24.4066,24.4088,24.4113,24.4102,24.413,24.4132,24.411,24.4138,24.4116,20.4786,20.4964,20.506,20.5142,20.5196,20.5235,20.5248,20.5304,20.5329,30.825,30.8358,30.8423,30.8444,30.8446,30.8437,30.8466,30.8473,30.8459,-29.3141,-29.156,-29.0425,-28.9763,-28.9147,-28.8658,-28.8189,-28.7874,-28.7614,-0.4896,1.1496,1.9229,2.3867,2.6667,2.8053,2.9211,2.996,3.026,31.7765,31.9487,32.0398,32.0936,32.137,32.1589,32.1778,32.1956,32.2033,20.5786,20.9598,21.2083,21.3847,21.5073,21.5856,21.6446,21.6831,21.7099
DH14,CG,-30.6647,-30.6615,-30.6603,-30.6589,-30.6588,-30.6583,-30.6602,-30.6591,42.6954,42.7086,42.7209,42.7282,42.7342,42.7396,42.7451,42.7488,42.7514,41.0952,41.1469,41.1814,41.2055,41.2234,41.2349,41.2471,41.2547,41.2619,24.7238,24.7244,24.7276,24.7277,24.7273,24.7277,24.7287,24.7299,24.7288,20.8556,20.8663,20.8729,20.8806,20.8795,20.8838,20.8846,20.8863,20.8866,30.8365,30.8416,30.8475,30.8474,30.8481,30.8489,30.8475,30.85,30.8475,-29.8717,-29.7816,-29.7143,-29.6673,-29.629,-29.6121,-29.5866,-29.5658,-29.5534,-7.5032,-6.6604,-6.2492,-5.9788,-5.8354,-5.7521,-5.6927,-5.6458,-5.6041,31.2024,31.3031,31.3587,31.3955,31.4194,31.4354,31.4484,31.4592,31.4669,19.3141,19.523,19.6622,19.7638,19.8354,19.8827,19.9141,19.9405,19.9585
DH15,CG,-30.7135,-30.7114,-30.7092,-30.7088,-30.709,-30.7092,-30.7075,-30.7082,42.7344,42.747,42.757,42.7635,42.7684,42.7712,42.7789,42.7806,42.7825,41.2395,41.2846,41.3165,41.3382,41.3498,41.3608,41.3724,41.3788,41.3822,24.6711,24.6712,24.6737,24.6754,24.6731,24.6728,24.6756,24.6759,24.6754,20.8047,20.8109,20.8176,20.8215,20.8231,20.82,20.8257,20.829,20.8291,30.8368,30.8406,30.8453,30.8426,30.8438,30.8455,30.8507,30.8479,30.8456,-29.7521,-29.6678,-29.6194,-29.5736,-29.5452,-29.5261,-29.4981,-29.4769,-29.4606,-6.5517,-5.7539,-5.3561,-5.1197,-4.983,-4.8892,-4.8304,-4.8024,-4.7812,31.3589,31.4505,31.5041,31.5368,31.5561,31.5712,31.5867,31.5942,31.5985,19.5564,19.7417,19.8628,19.9514,20.0112,20.0563,20.0891,20.1105,20.1236
DH16,CG,-30.8268,-30.8241,-30.8234,-30.8229,-30.8227,-30.8234,-30.8232,-30.8234,42.7932,42.8041,42.813,42.816,42.8229,42.8227,42.828,42.8278,42.8312,41.4331,41.4646,41.4887,41.5012,41.5142,41.5172,41.5265,41.5287,41.5359,24.5482,24.5494,24.553,24.5509,24.5529,24.5503,24.553,24.5509,24.5544,20.6573,20.6631,20.6715,20.6732,20.6766,20.6729,20.6762,20.6788,20.6831,30.834,30.8395,30.8411,30.8427,30.847,30.8437,30.8438,30.8428,30.8457,-29.6406,-29.5839,-29.5415,-29.5168,-29.4935,-29.4874,-29.4652,-29.4582,-29.4361,-5.0209,-4.4689,-4.1781,-3.9994,-3.8967,-3.8427,-3.8032,-3.7722,-3.756,31.5068,31.5697,31.6096,31.6306,31.6484,31.6537,31.6654,31.6677,31.6762,19.9574,20.0835,20.1711,20.2315,20.2751,20.3053,20.3241,20.3401,20.3513
DH17,CG,-31.165,-31.1596,-31.158,-31.1588,-31.1579,-31.1571,-31.1577,-31.1596,42.896,42.9212,42.9355,42.9499,42.9581,42.9639,42.9718,42.9795,42.9819,41.8673,41.948,41.9977,42.0349,42.0574,42.073,42.0899,42.1022,42.1094,24.1395,24.145,24.1479,24.1498,24.1478,24.1477,24.149,24.1496,24.1475,20.0696,20.0857,20.1009,20.1126,20.113,20.1185,20.1254,20.1242,20.1233,30.702,30.7123,30.7182,30.726,30.7232,30.7241,30.7244,30.7252,30.725,-29.128,-28.9749,-28.8765,-28.8,-28.7467,-28.6982,-28.6613,-28.6253,-28.6036,6.259,7.9704,8.7922,9.3279,9.6378,9.7835,9.8829,9.9743,10.0302,31.7527,31.9169,32.0055,32.0658,32.103,32.1252,32.1456,32.1621,32.1706,21.9415,22.3231,22.5768,22.7601,22.8857,22.9686,23.0277,23.0712,23.1004
DH18,CG,-30.6625,-30.6593,-30.6577,-30.6564,-30.6568,-30.6573,-30.6558,-30.6567,42.7246,42.748,42.7605,42.7746,42.7854,42.7906,42.7986,42.8027,42.8064,41.2014,41.2778,41.3206,41.3581,41.3829,41.396,41.412,41.423,41.4279,24.7235,24.7263,24.7254,24.7265,24.7284,24.7255,24.7264,24.7272,24.7261,20.8679,20.8843,20.8875,20.8972,20.8993,20.9011,20.9046,20.9058,20.9043,30.851,30.8596,30.86,30.8642,30.8665,30.8617,30.8644,30.8652,30.8646,-29.7341,-29.6023,-29.5206,-29.4511,-29.399,-29.3634,-29.327,-29.3044,-29.2804,-6.4874,-5.2834,-4.711,-4.2701,-4.066,-3.9601,-3.8819,-3.8562,-3.8195,31.3876,31.5332,31.6044,31.6636,31.6983,31.7142,31.7341,31.7438,31.7502,19.4358,19.739,19.9328,20.0789,20.1824,20.245,20.2933,20.3213,20.3439
